id,category_id,category_name,category_count_ratio,mask_count_ratio
0,70,potato,1.00,0.0149
1,70,potato,1.00,0.0252
2,70,potato,0.97,0.0216
3,70,potato,0.99,0.0282
4,70,potato,0.99,0.0078
5,31,cherry,0.57,0.0031
6,70,potato,0.99,0.0131
7,508,Vegetable,1.00,0.2958
8,47,pork,0.62,0.0053
9,73,tomato,0.69,0.0058
10,73,tomato,0.65,0.0044
11,73,tomato,0.55,0.0050
12,47,pork,0.46,0.0026
13,0,background,1.00,0.0080
14,70,potato,1.00,0.0255
15,73,tomato,0.92,0.0038
16,67,pie,1.00,0.0033
17,70,potato,0.97,0.0223
18,67,pie,0.63,0.0054
19,31,cherry,0.55,0.0018
20,0,background,1.00,0.0012
21,0,background,1.00,0.0033
22,73,tomato,0.54,0.0049
23,47,pork,0.40,0.0054
24,67,pie,1.00,0.0009
25,73,tomato,0.91,0.0065
26,67,pie,1.00,0.0039
27,73,tomato,0.70,0.0073
28,67,pie,1.00,0.0008
29,67,pie,1.00,0.0006
30,49,sausage,0.65,0.0030
31,70,potato,0.99,0.0284
32,67,pie,1.00,0.0016
33,67,pie,0.70,0.0014
34,67,pie,1.00,0.0008
35,70,potato,0.71,0.0007
36,31,cherry,0.60,0.0013
37,67,pie,0.51,0.0043
38,67,pie,1.00,0.0007
39,0,background,1.00,0.0004
40,47,pork,0.77,0.0027
41,67,pie,1.00,0.0008
42,0,background,1.00,0.0004
43,70,potato,1.00,0.0005
44,70,potato,1.00,0.0329
45,67,pie,0.93,0.0011
46,67,pie,1.00,0.0007
47,67,pie,0.94,0.0008
48,70,potato,1.00,0.0279
49,73,tomato,0.76,0.0022
50,67,pie,1.00,0.0011
51,67,pie,0.81,0.0029
52,47,pork,0.72,0.0030
53,67,pie,0.46,0.0020
54,73,tomato,0.79,0.0086
55,67,pie,1.00,0.0007
56,70,potato,1.00,0.0005
57,73,tomato,0.59,0.0015
58,67,pie,0.81,0.0003
59,67,pie,0.58,0.0019
60,67,pie,1.00,0.0004
61,67,pie,1.00,0.0004
62,70,potato,1.00,0.0003
63,73,tomato,0.75,0.0024
64,70,potato,1.00,0.0003
65,67,pie,0.99,0.0002
66,67,pie,1.00,0.0006
67,73,tomato,0.95,0.0025
68,67,pie,1.00,0.0008
69,67,pie,1.00,0.0045
70,0,background,1.00,0.0113
71,67,pie,1.00,0.0001
72,70,potato,1.00,0.0003
73,73,tomato,0.82,0.0051
74,67,pie,1.00,0.0002
75,0,background,0.93,0.0002
76,67,pie,1.00,0.0003
77,70,potato,1.00,0.0006
78,67,pie,1.00,0.0005
79,0,background,1.00,0.0002
80,67,pie,0.89,0.0016
81,0,background,1.00,0.0001
82,67,pie,1.00,0.0002
83,0,background,1.00,0.0001
84,67,pie,1.00,0.0003
85,67,pie,1.00,0.0001
86,67,pie,1.00,0.0005
87,49,sausage,0.57,0.0088
88,0,background,0.96,0.0004
89,67,pie,1.00,0.0002
90,0,background,1.00,0.0001
91,0,background,1.00,0.0002
92,47,pork,0.52,0.0031
93,67,pie,1.00,0.0002
94,73,tomato,0.72,0.0033
95,67,pie,0.95,0.0006
96,67,pie,0.60,0.0012
97,67,pie,0.69,0.0006
98,67,pie,1.00,0.0002
99,67,pie,1.00,0.0006
100,67,pie,0.67,0.0016
101,67,pie,1.00,0.0004
102,67,pie,1.00,0.0003
103,67,pie,1.00,0.0006
104,0,background,0.61,0.0007
105,67,pie,1.00,0.0001
106,0,background,1.00,0.0001
107,67,pie,0.85,0.0004
108,0,background,1.00,0.0001
109,49,sausage,0.54,0.0055
110,0,background,1.00,0.0001
111,67,pie,1.00,0.0002
112,67,pie,1.00,0.0005
113,67,pie,1.00,0.0001
114,67,pie,1.00,0.0053
115,70,potato,0.55,0.0003
116,0,background,1.00,0.0003
117,67,pie,1.00,0.0001
118,67,pie,1.00,0.0001
119,0,background,1.00,0.0001
120,49,sausage,0.55,0.0033
121,67,pie,1.00,0.0001
122,0,background,1.00,0.0001
123,67,pie,1.00,0.0005
124,67,pie,1.00,0.0003
125,70,potato,1.00,0.0002
126,0,background,1.00,0.0002
127,67,pie,1.00,0.0001
128,0,background,1.00,0.0001
129,0,background,1.00,0.0001
130,67,pie,1.00,0.0001
131,73,tomato,1.00,0.0005
132,0,background,0.93,0.0002
133,0,background,1.00,0.0003
134,0,background,1.00,0.0003
135,70,potato,1.00,0.0003
136,0,background,1.00,0.0000
137,70,potato,0.99,0.0007
138,67,pie,1.00,0.0002
139,67,pie,1.00,0.0001
140,67,pie,1.00,0.0003
