id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,21496,1085,216,114,237,1181.25,318.75,1.0234696865081787,0.9902278780937195,0,0,1200,1200
1,36284,789,43,224,220,956.25,93.75,1.0223177671432495,0.9895008206367493,0,0,1200,1200
2,31111,1013,535,186,201,1106.25,581.25,1.0212706327438354,0.9881412982940674,0,0,1200,1200
3,40563,858,219,230,223,956.25,318.75,1.0124338865280151,0.9849957227706909,0,0,1200,1200
4,11190,756,0,185,95,768.75,56.25,1.0097627639770508,0.9934972524642944,0,0,1200,1200
5,4505,573,1146,124,53,618.75,1181.25,1.0062923431396484,0.9922583699226379,0,0,1200,1200
6,18808,1031,104,168,153,1181.25,131.25,1.0054064989089966,0.9911092519760132,0,0,1200,1200
7,425922,0,0,1199,1199,356.25,1143.75,1.0048909187316895,0.9618695974349976,0,0,1200,1200
8,7670,134,949,104,108,168.75,1031.25,1.002520203590393,0.9847308397293091,0,0,1200,1200
9,8361,800,697,110,120,843.75,806.25,1.0001146793365479,0.9887065887451172,0,0,1200,1200
10,6270,413,502,87,85,468.75,581.25,0.9985635280609131,0.9895287752151489,0,0,1200,1200
11,7251,727,486,107,100,768.75,506.25,0.9974905252456665,0.983615517616272,0,0,1200,1200
12,3752,134,948,72,97,168.75,1031.25,0.9932973980903625,0.9783812165260315,0,0,1200,1200
13,11460,0,0,158,156,18.75,56.25,0.9892706274986267,0.9843385219573975,0,0,1200,1200
14,36649,789,43,253,395,956.25,56.25,0.9872350096702576,0.9663404822349548,0,0,1200,1200
15,5430,97,454,88,84,168.75,506.25,0.9850472211837769,0.9849981665611267,0,0,1200,1200
16,4759,596,1040,126,78,618.75,1068.75,0.9843961596488953,0.9899623394012451,0,0,1200,1200
17,32106,1014,231,185,505,1031.25,618.75,0.9838696718215942,0.9848545789718628,0,0,1200,1200
18,7830,182,621,113,148,281.25,731.25,0.9834847450256348,0.9809102416038513,0,0,1200,1200
19,2650,573,1146,72,53,618.75,1181.25,0.9825023412704468,0.980955958366394,0,0,1200,1200
20,1775,52,709,68,40,56.25,731.25,0.9824014902114868,0.9904814958572388,0,0,1200,1200
21,4696,0,1100,93,99,18.75,1143.75,0.9818286299705505,0.991721510887146,0,0,1200,1200
22,7052,272,792,102,115,356.25,843.75,0.9802734851837158,0.987044095993042,0,0,1200,1200
23,7808,251,926,96,119,281.25,993.75,0.9796302318572998,0.9829884767532349,0,0,1200,1200
24,1271,937,786,48,40,956.25,806.25,0.9795407056808472,0.9913927912712097,0,0,1200,1200
25,9311,484,643,94,129,506.25,731.25,0.9795263409614563,0.9807528853416443,0,0,1200,1200
26,5544,939,1084,97,72,956.25,1106.25,0.9769790768623352,0.9817694425582886,0,0,1200,1200
27,10519,441,217,143,101,543.75,281.25,0.9757617712020874,0.9802166819572449,0,0,1200,1200
28,1093,756,865,42,31,768.75,881.25,0.9739786982536316,0.9908925294876099,0,0,1200,1200
29,932,257,737,38,33,281.25,768.75,0.9717904925346375,0.9713679552078247,0,0,1200,1200
30,4381,436,1022,76,84,468.75,1031.25,0.9710319638252258,0.9830431938171387,0,0,1200,1200
31,40926,858,129,326,313,1031.25,356.25,0.9706186056137085,0.9845613241195679,0,0,1200,1200
32,2357,692,414,67,47,731.25,431.25,0.9699839949607849,0.9814502596855164,0,0,1200,1200
33,1977,486,415,56,57,506.25,431.25,0.9698303937911987,0.9725274443626404,0,0,1200,1200
34,1188,351,414,45,48,393.75,431.25,0.9695712327957153,0.9916247725486755,0,0,1200,1200
35,991,1182,485,17,85,1181.25,543.75,0.9669466018676758,0.9849699139595032,0,0,1200,1200
36,1875,623,1160,74,39,656.25,1181.25,0.9645130038261414,0.9820200800895691,0,0,1200,1200
37,6129,343,861,96,113,393.75,918.75,0.9642447233200073,0.9689760208129883,0,0,1200,1200
38,976,494,927,41,35,506.25,956.25,0.9636501669883728,0.9877800345420837,0,0,1200,1200
39,595,111,966,29,29,131.25,993.75,0.9631087183952332,0.9883138537406921,0,0,1200,1200
40,3856,170,970,69,86,206.25,1031.25,0.9628802537918091,0.9759283065795898,0,0,1200,1200
41,1168,717,912,43,46,731.25,918.75,0.9626673460006714,0.988936185836792,0,0,1200,1200
42,601,1063,464,29,28,1068.75,468.75,0.9619390368461609,0.9819672107696533,0,0,1200,1200
43,750,801,150,27,35,806.25,168.75,0.9611663818359375,0.9907161593437195,0,0,1200,1200
44,47366,757,0,422,263,918.75,206.25,0.9601266384124756,0.9586508870124817,0,0,1200,1200
45,1603,343,944,66,31,393.75,956.25,0.9594693779945374,0.9857585430145264,0,0,1200,1200
46,1030,574,708,42,35,581.25,731.25,0.9591418504714966,0.9855630397796631,0,0,1200,1200
47,1087,149,364,68,35,168.75,393.75,0.9575919508934021,0.9755213260650635,0,0,1200,1200
48,40111,1032,104,167,349,1068.75,131.25,0.9575124979019165,0.9836288690567017,0,0,1200,1200
49,3158,596,412,76,79,618.75,431.25,0.9572893381118774,0.974984347820282,0,0,1200,1200
50,1548,185,604,47,54,206.25,618.75,0.9570802450180054,0.978330135345459,0,0,1200,1200
51,4223,455,402,88,70,506.25,468.75,0.9557512998580933,0.9763687252998352,0,0,1200,1200
52,4303,251,926,59,96,281.25,956.25,0.9555779695510864,0.9673366546630859,0,0,1200,1200
53,2924,302,953,45,92,318.75,1031.25,0.9552112221717834,0.9776574373245239,0,0,1200,1200
54,12343,455,643,123,169,506.25,731.25,0.9548884630203247,0.9688321948051453,0,0,1200,1200
55,978,767,360,22,62,768.75,393.75,0.9540480375289917,0.9827761054039001,0,0,1200,1200
56,735,911,51,51,24,918.75,56.25,0.9535923004150391,0.9851751923561096,0,0,1200,1200
57,2179,464,276,70,43,468.75,281.25,0.9532498121261597,0.9696832299232483,0,0,1200,1200
58,429,648,485,28,24,656.25,506.25,0.9529748558998108,0.9792147874832153,0,0,1200,1200
59,2695,455,767,73,46,506.25,768.75,0.9509921669960022,0.9689554572105408,0,0,1200,1200
60,542,718,612,24,41,731.25,618.75,0.9508352875709534,0.9853211045265198,0,0,1200,1200
61,548,690,861,35,22,693.75,881.25,0.9498773813247681,0.9927272796630859,0,0,1200,1200
62,441,1159,684,32,18,1181.25,693.75,0.94869065284729,0.9932126402854919,0,0,1200,1200
63,3395,441,217,65,71,468.75,243.75,0.94855135679245,0.9736078977584839,0,0,1200,1200
64,479,792,4,21,31,806.25,18.75,0.9479040503501892,0.9833333492279053,0,0,1200,1200
65,284,465,757,24,15,468.75,768.75,0.9467381238937378,0.9895104765892029,0,0,1200,1200
66,905,239,375,30,52,243.75,393.75,0.9459308385848999,0.9835526347160339,0,0,1200,1200
67,3615,122,538,77,72,168.75,581.25,0.9451802968978882,0.9751908183097839,0,0,1200,1200
68,1158,657,656,35,46,693.75,693.75,0.9441826343536377,0.982876718044281,0,0,1200,1200
69,6423,173,231,85,145,206.25,356.25,0.9440047144889832,0.9591930508613586,0,0,1200,1200
70,16246,0,0,161,1199,18.75,93.75,0.943663477897644,0.9687139391899109,0,0,1200,1200
71,134,273,573,14,12,281.25,581.25,0.9426782131195068,0.9637681245803833,0,0,1200,1200
72,476,1048,291,27,28,1068.75,318.75,0.9423725605010986,0.9813664555549622,0,0,1200,1200
73,7357,123,484,104,126,206.25,581.25,0.9408928155899048,0.9559348821640015,0,0,1200,1200
74,286,540,396,25,13,543.75,393.75,0.9408884644508362,0.9861591458320618,0,0,1200,1200
75,337,87,489,17,22,93.75,506.25,0.9408764243125916,0.9824047088623047,0,0,1200,1200
76,478,579,646,41,34,581.25,656.25,0.9404130578041077,0.9812889695167542,0,0,1200,1200
77,931,1092,278,43,65,1106.25,318.75,0.9402530193328857,0.967126190662384,0,0,1200,1200
78,744,225,305,26,51,243.75,318.75,0.9395594000816345,0.9748344421386719,0,0,1200,1200
79,323,57,791,20,19,56.25,806.25,0.9385054111480713,0.9845678806304932,0,0,1200,1200
80,2307,455,402,48,70,468.75,431.25,0.938300609588623,0.9730884432792664,0,0,1200,1200
81,178,958,541,18,10,956.25,543.75,0.9382133483886719,0.9887640476226807,0,0,1200,1200
82,329,793,807,19,28,806.25,806.25,0.9380979537963867,0.9848484992980957,0,0,1200,1200
83,131,231,954,12,11,243.75,956.25,0.938017725944519,0.9923664331436157,0,0,1200,1200
84,366,839,901,28,16,843.75,918.75,0.936903715133667,0.989130437374115,0,0,1200,1200
85,176,718,840,14,15,731.25,843.75,0.9359955787658691,0.9830508232116699,0,0,1200,1200
86,710,704,570,39,35,731.25,581.25,0.9356328248977661,0.9695712327957153,0,0,1200,1200
87,12626,414,933,131,172,468.75,1068.75,0.9349621534347534,0.9674479961395264,0,0,1200,1200
88,530,79,475,25,35,93.75,506.25,0.9342091083526611,0.9868667721748352,0,0,1200,1200
89,218,685,829,21,13,693.75,843.75,0.9340850710868835,0.9863013625144958,0,0,1200,1200
90,193,1068,15,14,15,1068.75,18.75,0.9325641393661499,0.9948186278343201,0,0,1200,1200
91,262,19,1057,22,16,18.75,1068.75,0.9325619339942932,0.9773585200309753,0,0,1200,1200
92,4467,362,860,76,91,393.75,918.75,0.9322783946990967,0.9645764827728271,0,0,1200,1200
93,264,764,627,9,30,768.75,656.25,0.930325984954834,0.9813432693481445,0,0,1200,1200
94,4749,501,231,80,80,543.75,243.75,0.9301847219467163,0.9653455018997192,0,0,1200,1200
95,837,1169,1072,30,38,1181.25,1068.75,0.9295989871025085,0.9570267200469971,0,0,1200,1200
96,1790,377,860,48,57,393.75,881.25,0.9283246397972107,0.963307797908783,0,0,1200,1200
97,894,182,685,42,28,206.25,693.75,0.927505373954773,0.9746136665344238,0,0,1200,1200
98,245,433,384,24,12,431.25,393.75,0.9270288944244385,0.9918367266654968,0,0,1200,1200
99,876,384,289,27,45,393.75,318.75,0.9267638921737671,0.9617977738380432,0,0,1200,1200
100,2239,592,578,94,34,656.25,581.25,0.926486074924469,0.9704845547676086,0,0,1200,1200
101,511,319,366,35,33,318.75,393.75,0.9261603355407715,0.9710982441902161,0,0,1200,1200
102,474,491,153,24,25,506.25,168.75,0.9235974550247192,0.9832636117935181,0,0,1200,1200
103,871,559,334,37,57,581.25,356.25,0.9226616621017456,0.9706214666366577,0,0,1200,1200
104,1067,154,801,41,43,168.75,843.75,0.9220874905586243,0.9733210802078247,0,0,1200,1200
105,212,573,272,12,20,581.25,281.25,0.9216689467430115,0.9720930457115173,0,0,1200,1200
106,124,946,457,11,12,956.25,468.75,0.9216582775115967,0.984000027179718,0,0,1200,1200
107,599,294,939,27,36,318.75,956.25,0.9214434027671814,0.9752066135406494,0,0,1200,1200
108,160,422,1175,13,16,431.25,1181.25,0.9210985898971558,0.9750000238418579,0,0,1200,1200
109,7852,414,934,129,116,506.25,993.75,0.918010950088501,0.9584373235702515,0,0,1200,1200
110,119,424,1141,10,13,431.25,1143.75,0.9147561192512512,0.9669421315193176,0,0,1200,1200
111,296,447,876,20,17,468.75,881.25,0.9124850034713745,0.9765100479125977,0,0,1200,1200
112,667,198,459,25,40,206.25,468.75,0.9120684266090393,0.9675993919372559,0,0,1200,1200
113,161,795,581,11,17,806.25,581.25,0.9116820693016052,0.9814814925193787,0,0,1200,1200
114,7651,1034,1078,148,73,1106.25,1106.25,0.9115570783615112,0.9662805795669556,0,0,1200,1200
115,372,1017,624,15,37,1031.25,656.25,0.9101656675338745,0.9787798523902893,0,0,1200,1200
116,367,43,276,26,21,56.25,281.25,0.9099984169006348,0.9704301357269287,0,0,1200,1200
117,197,357,992,14,18,356.25,993.75,0.9086267352104187,0.9796954393386841,0,0,1200,1200
118,117,797,958,11,12,806.25,956.25,0.9064010381698608,0.9666666388511658,0,0,1200,1200
119,143,246,1101,12,13,243.75,1106.25,0.9061131477355957,0.965753436088562,0,0,1200,1200
120,4756,414,934,78,83,468.75,956.25,0.904524564743042,0.974849283695221,0,0,1200,1200
121,108,687,465,13,8,693.75,468.75,0.903739869594574,1.0,0,0,1200,1200
122,94,1172,916,10,10,1181.25,918.75,0.9033181667327881,0.978723406791687,0,0,1200,1200
123,653,706,461,26,41,731.25,468.75,0.9021520614624023,0.9638554453849792,0,0,1200,1200
124,491,567,334,30,25,581.25,356.25,0.9011514782905579,0.9660000205039978,0,0,1200,1200
125,330,1180,316,19,21,1181.25,318.75,0.9008622765541077,0.9732937812805176,0,0,1200,1200
126,256,694,154,19,17,693.75,168.75,0.9008179903030396,0.9806201457977295,0,0,1200,1200
127,125,687,464,15,10,693.75,468.75,0.9007563591003418,0.960629940032959,0,0,1200,1200
128,126,129,236,14,10,131.25,243.75,0.8993207216262817,0.9682539701461792,0,0,1200,1200
129,111,131,610,11,11,131.25,618.75,0.8977042436599731,0.9642857313156128,0,0,1200,1200
130,115,649,808,12,10,656.25,806.25,0.8949723243713379,0.991304337978363,0,0,1200,1200
131,766,598,504,40,32,618.75,506.25,0.8929305076599121,0.969111979007721,0,0,1200,1200
132,267,1018,565,19,24,1031.25,581.25,0.8916224837303162,0.9671533107757568,0,0,1200,1200
133,389,112,938,41,19,131.25,956.25,0.8911230564117432,0.9597989916801453,0,0,1200,1200
134,423,1088,782,22,25,1106.25,806.25,0.8903013467788696,0.9765258431434631,0,0,1200,1200
135,491,1152,347,35,18,1181.25,356.25,0.8900256156921387,0.9679999947547913,0,0,1200,1200
136,70,1174,735,9,8,1181.25,731.25,0.8844007253646851,0.9722222089767456,0,0,1200,1200
137,948,862,311,44,35,881.25,318.75,0.8839793801307678,0.9646569490432739,0,0,1200,1200
138,357,354,636,21,22,356.25,656.25,0.8837665915489197,0.9667590260505676,0,0,1200,1200
139,156,762,988,11,16,768.75,993.75,0.8817293047904968,0.9685534834861755,0,0,1200,1200
140,368,386,314,22,20,393.75,318.75,0.8807302713394165,0.9704301357269287,0,0,1200,1200
