[2025-01-08 09:12:18,624] [panoptic.py:273] [INFO] running sam!
[2025-01-08 09:12:22,846] [panoptic.py:289] [INFO] Processing '/workspaces/FoodSAM/examples/omelette.jpg'...
[2025-01-08 09:12:25,940] [panoptic.py:302] [INFO] sam done!

[2025-01-08 09:12:25,940] [panoptic.py:304] [INFO] running semantic seg model!
[2025-01-08 09:12:27,651] [panoptic.py:318] [INFO] semantic predict done!

[2025-01-08 09:12:27,651] [panoptic.py:320] [INFO] running object detection model
[2025-01-08 09:12:27,656] [config.py:69] [WARNING] Loading config ./configs/Base-CRCNN-COCO.yaml with yaml.unsafe_load. Your machine may be at risk if the file contains malicious content.
[2025-01-08 09:12:28,261] [detection_checkpoint.py:38] [INFO] [DetectionCheckpointer] Loading from ./ckpts/Unified_learned_OCIM_RS200_6x+2x.pth ...
[2025-01-08 09:12:28,261] [checkpoint.py:150] [INFO] [Checkpointer] Loading from ./ckpts/Unified_learned_OCIM_RS200_6x+2x.pth ...
[2025-01-08 09:12:28,471] [checkpoint.py:350] [WARNING] Some model parameters or buffers are not found in the checkpoint:
[34mbackbone.bottom_up.res2.0.conv1.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.0.conv2.bn0.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.0.conv2.bn1.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.0.conv3.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.0.shortcut.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.1.conv1.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.1.conv2.bn0.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.1.conv2.bn1.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.1.conv3.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.2.conv1.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.2.conv2.bn0.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.2.conv2.bn1.num_batches_tracked[0m
[34mbackbone.bottom_up.res2.2.conv3.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.stem.conv1_1.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.stem.conv1_2.norm.num_batches_tracked[0m
[34mbackbone.bottom_up.stem.conv1_3.norm.num_batches_tracked[0m
[2025-01-08 09:12:31,705] [object_detection.py:110] [INFO] /workspaces/FoodSAM/examples/omelette.jpg: detected 16 instances in 3.20s
[2025-01-08 09:12:31,707] [panoptic.py:322] [INFO] object detection done!

[2025-01-08 09:12:31,707] [panoptic.py:324] [INFO] panoramic segmentation!
[2025-01-08 09:12:31,744] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/0 assign label: [ 70, potato, 1.00, 0.0149 ]
[2025-01-08 09:12:31,749] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/1 assign label: [ 70, potato, 1.00, 0.0252 ]
[2025-01-08 09:12:31,753] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/2 assign label: [ 70, potato, 0.97, 0.0216 ]
[2025-01-08 09:12:31,759] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/3 assign label: [ 70, potato, 0.99, 0.0282 ]
[2025-01-08 09:12:31,761] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/4 assign label: [ 70, potato, 0.99, 0.0078 ]
[2025-01-08 09:12:31,761] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/5 assign label: [ 31, cherry, 0.57, 0.0031 ]
[2025-01-08 09:12:31,764] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/6 assign label: [ 70, potato, 0.99, 0.0131 ]
[2025-01-08 09:12:31,833] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/7 assign label: [ 0, background, 1.00, 0.2958 ]
[2025-01-08 09:12:31,834] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/8 assign label: [ 47, pork, 0.62, 0.0053 ]
[2025-01-08 09:12:31,835] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/9 assign label: [ 73, tomato, 0.69, 0.0058 ]
[2025-01-08 09:12:31,836] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/10 assign label: [ 73, tomato, 0.65, 0.0044 ]
[2025-01-08 09:12:31,837] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/11 assign label: [ 73, tomato, 0.55, 0.0050 ]
[2025-01-08 09:12:31,838] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/12 assign label: [ 47, pork, 0.46, 0.0026 ]
[2025-01-08 09:12:31,839] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/13 assign label: [ 0, background, 1.00, 0.0080 ]
[2025-01-08 09:12:31,844] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/panoptic/omelette/sam_mask/14 assign label: [ 70, potato, 1.00, 0.0255 ]
